,field,cmr,cgl,depth10conc,depth20conc
0,1,38.23662676794242,81.85590924830092,1178.7,1279.8
1,2,23.029532668311447,77.09829510214936,1274.0,1349.2
2,3,23.01801356568914,77.03655271209381,1250.7,1338.9
3,4,22.993326691527663,76.90423106658828,1197.5,1315.1
4,5,23.006120004701238,76.97280322519863,1225.5,1327.6
5,6,22.99438066950762,76.90988038856085,1197.5,1315.1
6,7,49.60013498020011,70.90011473317008,1158.7,1287.9
7,8,49.675414410743436,70.96410224913191,1232.6,1321.5
8,9,49.65320199135346,70.94522169265043,1210.1,1311.4
9,10,38.232600931115854,81.8433888957703,1178.7,1279.8
10,11,49.63070137786104,70.92609617118188,1185.8,1300.1
11,12,49.60881746061537,70.90749484152306,1158.7,1287.9
12,13_1,38.26592417157695,81.9470241736043,1253.7,1312.3
13,13_2,38.26928455512682,81.95747496644441,1253.7,1312.3
14,13_3,38.26928455512682,81.95747496644441,1253.7,1312.3
15,13_3,38.26928455512682,81.95747496644441,1253.7,1312.3
16,13_4,38.26928455512682,81.95747496644441,1253.7,1312.3
