,situation,field,cmr,cgl
0,situation37_1week,2,18.178829063051296,51.09852377795495
1,situation37_2week,2,18.670200894369717,53.732276793821676
2,situation44_1week,2,18.643440876936285,53.588843100378504
3,situation44_2week,2,19.228562080034816,56.725092748986604
4,situation51_1week,2,19.18397696691413,56.48611654265973
5,situation51_2week,2,19.57772253163311,58.59659276955345
6,situation58_1week,2,20.197073425971453,61.916313563207
7,situation58_2week,2,19.4042434663005,57.66674497937068
8,situation65_1week,2,20.11380275416304,61.46998276231388
9,situation65_2week,2,19.236390701740262,56.76705416132779
10,situation72_1week,2,19.62984530461657,58.875970832744805
11,situation79_1week,2,18.866143753230105,54.782530517313354
