"field","day","observed_lai","observed_DVS","observed_TAGP","observed_TWSO","observed_WLV","observed_TWST"
"2",2020-06-12,0.140372282,0.3507,209.804,0,172.28,37.524
"2",2020-06-21,0.70724078,0.4551,799.568,0,415.36,384.208
"2",2020-06-26,1.336839543,0.513,1175.752,0,606.992,568.76
"2",2020-07-01,1.512734948,0.571,1539.192,0,797.208,741.984
"2",2020-07-06,1.591240132,0.629,2152.792,0,1078.048,1074.744
"2",2020-07-13,0.882415871,0.7101,1509.692,0,830.484,679.208
"2",2020-07-20,5.025852039,0.7913,6627.824,0,3278.984,3348.84
"2",2020-08-02,5.37495868,0.942,7575.6,852.904,2829.168,3893.528
"2",2020-08-14,2.12216196,1.1842,9177.568,2431.744,1910.184,4835.64
"2",2020-08-25,3.51647681,1.4737,14056.632,7326.384,2323.184,4407.064
"3",2020-06-12,0.083061339,0.3507,117,0,95.7666666666667,21.2333333333333
"3",2020-06-21,0.447853441,0.4551,606.666666666667,0,286.866666666667,319.8
"3",2020-06-26,0.883415208,0.513,938.6,0,477.1,461.5
"3",2020-07-01,1.304645677,0.571,1749.36666666667,0,874.033333333333,875.333333333333
"3",2020-07-06,1.503621882,0.629,1969.93333333333,0,974.133333333333,995.8
"3",2020-07-13,0.969513416,0.7101,1608.75,0,900.25,708.5
"3",2020-07-20,2.854478936,0.7913,5231.2,0,2449.63333333333,2781.56666666667
"3",2020-08-02,4.765832189,0.942,6694.56666666667,827.666666666667,2589.16666666667,3277.73333333333
"3",2020-08-14,2.97216283,1.1842,9582.3,2566.2,2980.25,4035.85
"3",2020-08-25,2.057377477,1.4737,9999.6,5131.1,1822.6,3045.9
"4",2020-06-12,0.115325741,0.3507,138.913333333333,0,114.793333333333,24.12
"4",2020-06-21,0.450699694,0.4551,499.373333333333,0,264.426666666667,234.946666666667
"4",2020-06-26,0.98482096,0.513,956.76,0,474.806666666667,481.953333333333
"4",2020-07-01,0.54586086,0.571,734.766666666667,0,354.206666666667,380.56
"4",2020-07-06,1.681642556,0.629,1627.43,0,819.41,808.02
"4",2020-07-13,1.764958435,0.7101,2049.08333333333,0,1096.79,952.293333333333
"4",2020-07-20,2.150813369,0.7913,4480.96,0,1992.58,2488.38
"4",2020-08-02,3.860135659,0.942,4950.85333333333,438.85,1832.45,2679.55333333333
"4",2020-08-14,1.465570438,1.1842,10047.99,3141.63,2764.42,4141.94
"4",2020-08-25,2.613294088,1.4737,10546.47,5463.18,1888.06,3195.23
"5",2020-06-12,0.21004494,0.3507,248.706,0,204.896,43.81
"5",2020-06-21,0.571046928,0.4551,589.75,0,330.934,258.816
"5",2020-06-26,0.952681811,0.513,843.848,0,429.113333333333,414.734666666667
"5",2020-07-01,0.750166265,0.571,1000.216,0,490.222666666667,509.993333333333
"5",2020-07-06,1.671939802,0.629,2510.65,0,1177.478,1333.172
"5",2020-07-13,2.123790335,0.7101,2584.79,0,1251.618,1333.172
"5",2020-07-20,3.603698403,0.7913,5457.60266666667,0,2441.228,3016.37466666667
"5",2020-08-02,3.339192536,0.942,5775.28133333333,917.988,1870.12533333333,2987.168
"5",2020-08-14,1.270599551,1.1842,7871.87066666667,2424.60266666667,1733.528,3713.74
"5",2020-08-25,2.184577766,1.4737,8639.78133333333,4683.85066666667,1382.59866666667,2573.332
"6",2020-06-12,0.127742412,0.3507,220.527,0,185.49,35.037
"6",2020-06-21,0.689021734,0.4551,640.971,0,328.386,312.585
"6",2020-06-26,0.684722912,0.513,746.998,0,355.866,391.132
"6",2020-07-01,1.466277928,0.571,1363.008,0,680.13,682.878
"6",2020-07-06,0.985904981,0.629,1487.126,0,728.22,758.906
"6",2020-07-13,1.612676399,0.7101,2504.115,0,1269.576,1234.539
"6",2020-07-20,2.483921983,0.7913,5127.768,0,2632.584,2495.184
"6",2020-08-02,5.381481751,0.942,7349.068,858.75,3258.67,3231.648
"6",2020-08-14,3.479786425,1.1842,7767.68,1446.822,2288.626,4032.232
"6",2020-08-25,0.962867824,1.4737,8911.764,5071.434,1382.244,2458.086
