田块,重复,2020/6/12,2020/6/21,2020/6/26,2020/7/1,2020/7/6,2020/7/13,2020/7/20,2020/8/2,2020/8/14,2020/8/25,type
2,1,0.9,2.88,4.07,6.25,7.41,,25.73,17.88,11.6,16.52,叶干重
2,2,1.57,3.17,5.04,,6.71,5.73,19.16,23.73,,16.68,叶干重
2,3,1.18,2.75,3.75,5.01,8.72,6,24.58,18.33,15.38,16.02,叶干重
3,1,0.59,2.18,4.32,6.74,8.13,7.34,16.61,19.58,,,叶干重
3,2,0.95,1.63,3.33,6.86,6.97,6.51,23.14,19.46,22.66,15.36,叶干重
3,3,0.67,2.81,3.36,6.57,7.38,,16.78,20.71,23.19,12.68,叶干重
4,1,0.79,2.22,3.22,3.12,6.72,,,,,13.37,叶干重
4,2,0.52,2.13,3.51,2.24,,6.71,14.7,15.61,20.5,13.51,叶干重
4,3,1.26,1.57,3.9,2.57,5.51,9.66,15.04,11.74,20.76,15.39,叶干重
5,1,1.78,,3.67,4.02,8.5,11.2,14.93,15.11,11.98,11.47,叶干重
5,2,1.37,2.22,3.01,3.58,,,18.96,12.71,12.13,9.32,叶干重
5,3,1.41,2.69,2.87,3.31,8.97,7.37,20.44,13.8,14.47,9.98,叶干重
6,1,1.35,2.48,2.42,5.48,6.32,8.78,,20.3,17.58,,叶干重
6,2,,2.3,2.87,4.42,4.52,9.7,20.77,22.99,13.13,11.44,叶干重
6,3,1.35,,2.48,,5.06,,17.55,27.86,19.26,8.68,叶干重
2,1,0.24,2.7,3.9,5.82,6.51,4.5,,27.83,,31.17,茎干重
2,2,,2.86,4.87,,,5.04,23.65,27.59,36.69,31.89,茎干重
2,3,0.29,2.58,3.28,4.66,8.67,4.85,,27.07,31.61,30.31,茎干重
3,1,0.14,2.21,4.01,6.84,7.93,7.22,19.37,24.31,18.09,,茎干重
3,2,0.18,,3.39,7,7.53,6.32,25.75,27.87,44,25.45,茎干重
3,3,0.17,2.71,3.25,6.36,7.52,2.81,19.07,23.46,,21.41,茎干重
4,1,,1.94,3.32,3.17,7.02,5.14,,15.87,20.83,23.88,茎干重
4,2,0.15,1.85,3.6,,,5.88,19.36,24.98,33.07,23.81,茎干重
4,3,0.21,1.47,3.87,2.51,5.04,10.3,17.78,19.14,38.83,,茎干重
5,1,,1.78,3.66,3.95,9.92,12.86,19.62,,,22.17,茎干重
5,2,0.35,2.06,2.94,3.49,8.98,,21.69,19.62,,16.96,茎干重
5,3,0.3,,2.63,3.91,10.77,6.92,25.82,24.7,27.55,18.14,茎干重
6,1,0.22,2.38,2.65,5.56,6.56,9.02,,22.11,37.25,12.1,茎干重
6,2,,2.17,3.03,4.38,4.7,8.95,19.89,23.3,22.79,23.66,茎干重
6,3,0.29,,2.86,,5.31,,16.43,25.15,28,17.91,茎干重
2,1,0,0,0,0,0,0,0,5.11,17.92,50.77,穗干重
2,2,0,0,0,0,0,0,0,5.94,16.84,52.98,穗干重
2,3,0,0,0,0,0,0,0,7.02,16.76,51.47,穗干重
3,1,0,0,0,0,0,0,0,5.21,19.13,,穗干重
3,2,0,0,0,0,0,0,0,7.23,18.4,41.13,穗干重
3,3,0,0,0,0,0,0,0,6.66,21.69,37.81,穗干重
4,1,0,0,0,0,0,0,0,2.75,,41.56,穗干重
4,2,0,0,0,0,0,0,0,,20.19,40.97,穗干重
4,3,0,0,0,0,0,0,0,3.8,26.7,39.78,穗干重
5,1,0,0,0,0,0,0,0,8.09,18.15,33.53,穗干重
5,2,0,0,0,0,0,0,0,6.16,20.42,34.75,穗干重
5,3,0,0,0,0,0,0,0,6.18,15.39,35.96,穗干重
6,1,0,0,0,0,0,0,0,7.98,,,穗干重
6,2,0,0,0,0,0,0,0,4.52,8.83,41.65,穗干重
6,3,0,0,0,0,0,0,0,,12.23,32.17,穗干重
